Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Flow 2,Chrome 107.0.0.0,,,2022-11-15 14:23:48,2022-11-15 14:30:28,6m - 40.439s,FAILED
,,,,,,,
Test Cases/TC009 - Supplier Revise and Confirm Shipment (Supplier),Chrome 107.0.0.0,,,2022-11-15 14:23:48,2022-11-15 14:24:33,44.519s,PASSED
"callTestCase(findTestCase(""common/Login""), [""username"":usernameAzwan, ""password"":passwordAzwan, ""verification"":verificationAzwan, ""company"":sgbafco], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 14:23:49,2022-11-15 14:24:11,21.998s,PASSED
"click(findTestObject(""TC009/Page_Brivge/h6_Logistics""))",Chrome 107.0.0.0,,,2022-11-15 14:24:11,2022-11-15 14:24:12,0.838s,PASSED
"click(findTestObject(""TC009/Page_Brivge/li_Shipping Detail List""))",Chrome 107.0.0.0,,,2022-11-15 14:24:12,2022-11-15 14:24:15,2.666s,PASSED
"setText(findTestObject(""TC009/Page_Brivge/input_Shipping Detail List""), findTestData(""Toyotsu-data"").getValue(8, 2))",Chrome 107.0.0.0,Booking no from TC006(timestamp) will change later,,2022-11-15 14:24:15,2022-11-15 14:24:18,3.297s,PASSED
"click(findTestObject(""TC009/Page_Brivge/button_edit""))",Chrome 107.0.0.0,,,2022-11-15 14:24:18,2022-11-15 14:24:19,0.775s,PASSED
y = util.generateTime.dateTimeGenerator(),Chrome 107.0.0.0,,,2022-11-15 14:24:19,2022-11-15 14:24:19,0.105s,PASSED
"click(findTestObject(""TC009/Page_Brivge/input__atd""))",Chrome 107.0.0.0,choose date for atd,,2022-11-15 14:24:19,2022-11-15 14:24:20,1.071s,PASSED
"click(findTestObject(""TC009/Page_Brivge/button next atd calendar""))",Chrome 107.0.0.0,,,2022-11-15 14:24:20,2022-11-15 14:24:21,1.307s,PASSED
"click(findTestObject(""TC009/Page_Brivge/button_1""))",Chrome 107.0.0.0,,,2022-11-15 14:24:21,2022-11-15 14:24:22,1.145s,PASSED
"click(findTestObject(""TC009/Page_Brivge/input__blDate""))",Chrome 107.0.0.0,choose bl date,,2022-11-15 14:24:22,2022-11-15 14:24:23,0.816s,PASSED
"click(findTestObject(""TC009/Page_Brivge/button next bl calendar""))",Chrome 107.0.0.0,,,2022-11-15 14:24:23,2022-11-15 14:24:24,0.650s,PASSED
"click(findTestObject(""TC009/Page_Brivge/button_15""))",Chrome 107.0.0.0,,,2022-11-15 14:24:24,2022-11-15 14:24:25,1.162s,PASSED
"setText(findTestObject(""TC009/Page_Brivge/input__blNo""), ""BL No "" + y)",Chrome 107.0.0.0,input bl no,,2022-11-15 14:24:25,2022-11-15 14:24:27,1.611s,PASSED
"setText(findTestObject(""TC009/Page_Brivge/input__voyageNo""), ""voyage "" + y)",Chrome 107.0.0.0,input vogaye no,,2022-11-15 14:24:27,2022-11-15 14:24:28,1.156s,PASSED
"setText(findTestObject(""TC009/Page_Brivge/input__vesselName""), ""Vessel A"")",Chrome 107.0.0.0,input vessel name,,2022-11-15 14:24:28,2022-11-15 14:24:29,1.120s,PASSED
