Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Flow,Chrome 107.0.0.0,,,2022-11-15 16:37:31,2022-11-15 16:48:53,11m - 22.086s,PASSED
,,,,,,,
Test Cases/TC001 - Customer Place Order for Contract (Customer),Chrome 107.0.0.0,Customer create order on Place Order page,,2022-11-15 16:37:32,2022-11-15 16:38:45,1m - 12.798s,PASSED
"callTestCase(findTestCase(""common/Login""), [""username"":usernameLuqman, ""password"":passwordLuqman, ""verification"":verificationLuqman, ""company"":vnttvn], STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 16:37:33,2022-11-15 16:38:04,31.371s,PASSED
"click(findTestObject(""TC001/h6_Order""))",Chrome 107.0.0.0,"Login with user Luqman and VN-TTVN
",,2022-11-15 16:38:04,2022-11-15 16:38:10,5.943s,PASSED
"click(findTestObject(""TC001/p_Place Order""))",Chrome 107.0.0.0,,,2022-11-15 16:38:10,2022-11-15 16:38:12,1.254s,PASSED
"waitForElementVisible(findTestObject(""TC001/input_Spot Order Without Contract_lcbm-MuiInputBase-input lcbm-MuiFilledInput-input lcbm-lcbm231 lcbm-MuiInputBase-inputAdornedEnd lcbm-MuiFilledInput-inputAdornedEnd""), 0)",Chrome 107.0.0.0,,,2022-11-15 16:38:12,2022-11-15 16:38:13,1.599s,PASSED
"setText(findTestObject(""TC001/input_Spot Order Without Contract_lcbm-MuiInputBase-input lcbm-MuiFilledInput-input lcbm-lcbm231 lcbm-MuiInputBase-inputAdornedEnd lcbm-MuiFilledInput-inputAdornedEnd""), custContractNo)",Chrome 107.0.0.0,,,2022-11-15 16:38:13,2022-11-15 16:38:16,2.684s,PASSED
"verifyElementText(findTestObject(""TC001/verify_div_SGTTAP TO VNTTVN 1028002""), custContractNo, OPTIONAL)",Chrome 107.0.0.0,,,2022-11-15 16:38:16,2022-11-15 16:38:16,0.496s,PASSED
"y = getText(findTestObject(""TC003/div_CR-VN-TTVN-2210020""))",Chrome 107.0.0.0,,,2022-11-15 16:38:16,2022-11-15 16:38:17,0.349s,PASSED
"util.copyToExcel.exel(y, 1, 0)",Chrome 107.0.0.0,,,2022-11-15 16:38:17,2022-11-15 16:38:18,1.294s,PASSED
"click(findTestObject(""TC001/button_AND_lcbm-MuiButtonBase-root lcbm-MuiIconButton-root""))",Chrome 107.0.0.0,,,2022-11-15 16:38:18,2022-11-15 16:38:19,1.101s,PASSED
"click(findTestObject(""TC001/button_Input OrderFC QTY for each PN_lcbm-MuiButtonBase-root lcbm-MuiIconButton-root""))",Chrome 107.0.0.0,,,2022-11-15 16:38:19,2022-11-15 16:38:20,0.803s,PASSED
"doubleClick(findTestObject(""TC001/input number 1""))",Chrome 107.0.0.0,,,2022-11-15 16:38:20,2022-11-15 16:38:24,4.385s,PASSED
"sendKeys(findTestObject(""TC001/input number 1""), ""1000"", STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 16:38:24,2022-11-15 16:38:25,0.406s,PASSED
"doubleClick(findTestObject(""TC001/input number 2""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 16:38:25,2022-11-15 16:38:26,0.770s,PASSED
"sendKeys(findTestObject(""TC001/input number 2""), ""1000"")",Chrome 107.0.0.0,,,2022-11-15 16:38:26,2022-11-15 16:38:26,0.940s,PASSED
"doubleClick(findTestObject(""TC001/input number 3""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 16:38:26,2022-11-15 16:38:27,0.639s,PASSED
"sendKeys(findTestObject(""TC001/input number 3""), ""1000"")",Chrome 107.0.0.0,,,2022-11-15 16:38:27,2022-11-15 16:38:28,0.507s,PASSED
"doubleClick(findTestObject(""TC001/input number 4""), STOP_ON_FAILURE)",Chrome 107.0.0.0,,,2022-11-15 16:38:28,2022-11-15 16:38:28,0.592s,PASSED
"sendKeys(findTestObject(""TC001/input number 4""), ""1000"")",Chrome 107.0.0.0,,,2022-11-15 16:38:28,2022-11-15 16:38:29,0.441s,PASSED
